id,countryCode,name,city,address,postalCode,latitude,longitude,updated,comment
9558,EE,Idakeskus (Udrop),Tallinn,Punane 16b,13619,59.432103840,24.823880376,2026-01-01 12:30:09.468,Paštomatas stovi prie šoninės kairioje įėjimo į PC pusėje.
8081,LV,TC Tobago,Ventspils,Lielais prospekts 3/5,LV-3601,57.387223184,21.580250919,2026-01-01 12:30:05.412,Paštomatas stovi lauke, kairėje įėjimo į parduotuvę pusėje, už kampo.
9560,EE,Peetri Ärimaja (Udrop),Peetri,Vana-Tartu Maantee 79a,75312,59.382289198,24.836407683,2026-02-06 12:54:34.001,
9559,EE,Solaris Keskus (Udrop),Tallinn,Estonia pst 9,10143,59.433537461,24.751549977,2026-01-01 12:30:09.472,Paštomatas stovi dešinėje įėjimo nuo Teatri Väljaku pusėje prie pastato sienos.
9554,EE,Tallinna Arendused AS (Udrop),Tallinn,Veerenni 20,10134,59.425364907,24.748028274,2026-01-01 12:30:09.444,Paštomatas stovi parkavimo aikštelėje prie pesčiųjų tako.
9551,EE,Eeden Keskus  (Udrop),Tartu,Kalda tee 1c,50703,58.373855830,26.749309560,2026-01-01 12:30:09.43,Paštomatas stovi išvažiuojant iš žiedinės sankryžos prie įėjimo į prekybos centrą.
8064,LV,Maxima,Jūrmala,Talsu šoseja 25,LV-2016,56.960541833,23.617701678,2026-03-04 14:27:51.061,
9552,EE,Tööstuse (Udrop),Tallinn,Tööstuse 48a,10416,59.4496842,24.725319,2026-01-01 12:30:09.435,Paštomatas stovi  kairėje įvažiavimo į parkavimo aikštelę pusėje.
9548,EE,Soola 7 Grossi (Udrop),Tartu,Soola 7,51004,58.378332013,26.735419553,2026-01-01 12:30:09.41,Paštomatas stovi kairėje įėjimo į parduotuvę pusėje.
8541,LV,NICE HOME (Udrop),Rīga,Nīcgales iela 18A,LV-1035,56.955791,24.175298,2026-02-05 12:03:26.046,
9543,EE,Sõpruse 249 Konsum (Udrop),Tallinn,Sõpruse pst 249,13412,59.398359168,24.682784247,2026-01-01 12:30:09.377,Paštomatas stovi kairėje įėjimo į parduotuvę pusėje.
9550,EE,Kvissentali Konsum (Udrop),Tartu,Aruküla tee 5,50303,58.401824933,26.709285543,2026-01-01 12:30:09.419,Paštomatas stovi dešinėje įėjimo į parduotuvę pusėje.
9555,EE,Tuukri 56 Europark (Udrop),Tallinn,Tuukri 56,10120,59.439767900,24.772280501,2026-01-01 12:30:09.448,Paštomatas stovi parkavimo aikštelėje gale, kairėje pusėje.
8552,LV,TOP (Udrop),Liepāja,Jelgavas iela 37,LV-3401,56.519258,21.015010,2026-02-05 12:07:24.748,
8088,LV,Mego,Jēkabpils,Vienības iela 1A,LV-5201,56.493513901,25.874582998,2026-02-05 11:27:59.867,
8074,LV,Beta,Rīga,Stirnu iela 45A,LV-1084,56.961727823,24.189698674,2026-02-05 11:22:54.697,
8065,LV,Maxima,Rīga,Jūrmalas gatve 85,LV-1029,56.954041559,24.006325489,2026-02-05 11:17:15.048,
9539,EE,Vikerlase Mini Rimi  (Udrop) ,Tallinn,Vikerlase 19,13616,59.439259673,24.845050980,2026-01-01 12:30:09.347,Paštomatas stovi kairėje įėjimo į parduotuvę pusėje.
8559,LV,AlkOutlet (Udrop),Smiltene,Pils iela 1B,LV-4729,57.424522,25.905483,2026-01-01 12:30:06.268,Paštomatas yra kairėje pusėje nuo įėjimo į parduotuvę.
8079,LV,Minska,Rīga,Nīcgales iela 2A,LV-1035,56.959330487,24.174597089,2026-02-05 11:25:31.16,
9553,EE,Kaubanduskeskus Home Gallery (Udrop),Viljandi,Leola 53,71008,58.377737638,25.594166656,2026-01-01 12:30:09.439,Paštomatas stovi parkavimo aikštelėje, prie sienos.
8558,LV,TC Rīts (Udrop),Valmiera,Stacijas iela 2,LV-4201,57.533258,25.426200,2026-02-05 12:09:07.289,
8556,LV,TOP (Udrop),Valmiera,Georga Apiņa iela 27B,LV-4201,57.544346,25.414443,2026-02-05 12:08:07.512,
8093,LV,Maxima,Rīga,Pētersalas iela 18B,LV-1045,56.968552530,24.100757399,2026-02-05 11:29:10.297,
8085,LV,Maxima,Rīga,Nīcgales iela 46A,LV-1035,56.944824952,24.171747837,2026-02-05 11:27:29.278,
9008,EE,Sütiste Maxima,Tallinn,J. Sütiste tee 28,13411,59.397744150,24.690757491,2026-01-01 12:30:08.082,Paštomatą rasite lauke, kairėje pagrindinio įėjimo į parduotuvę pusėje, priešais parkavimo aikštelę.
8555,LV,TOP (Udrop),Cēsis,Leona Paegles iela 5,LV-4101,57.305088,25.279792,2026-01-01 12:30:06.246,Paštomatas stovi dešinėje pastato pusėje.
8554,LV,TC Maska (Udrop),Rīga,Latgales iela 267,LV-1063,56.920108,24.172817,2026-02-05 12:07:45.689,
8092,LV,Krūza,Rīga,Tīnūžu iela 2,LV-1021,56.934710464,24.203392003,2026-02-05 11:28:38.263,
8077,LV,Valdeka TC,Jelgava,Rīgas iela 11A,LV-3002,56.661643093,23.746695559,2026-01-01 12:30:05.4,Paštomatą rasite lauke, dešinėje pagrindinio įėjimo į parduotuvę pusėje.
8073,LV,Beta,Rīga,Purvciema iela 35,LV-1035,56.953583735,24.175374658,2026-02-05 11:22:03.129,
9556,EE,Ekspressi Maja (Udrop),Tallinn,Aedvilja 1a,10120,59.438106461,24.766143521,2026-01-01 12:30:09.46,Paštomatas stovi priešais pagrindinį įėjimą į pastatą.
8557,LV,Citadele biznesa centrs (Udrop),Rīga,Republikas laukums 2a,LV-1010,56.953477,24.099555,2026-02-05 12:08:31.368,
8553,LV,Raina iela (Udrop),Jelgava,Raiņa iela 20,LV-3001,56.648129,23.720719,2026-01-01 12:30:06.237,Paštomatas stovi kairėje įėjimo į pastatą pusėje.
8549,LV,TC Uga (Udrop),Preiļi,Rīgas iela 4D,LV-5301,56.299563,26.710105,2026-01-01 12:30:06.215,Paštomatas stovi parkavimo aikštelėje, dešinėje įėjimo į parduotuvę pusėje.
8069,LV,Beta,Rīga,Ieriķu iela 41B,LV-1084,56.966289890,24.182189385,2026-02-05 11:19:17.327,
8550,LV,Lastadijas iela (Udrop),Rīga,Lastādijas iela 9,LV-1050,56.941769,24.120873,2026-02-05 12:06:18.115,
8539,LV,TC Domina (Udrop),Rīga,Ieriķu iela 3,LV-1084,56.965661,24.162605,2026-02-05 12:02:16.967,
8083,LV,Maxima,Mārupe,Pededzes iela 1,LV-2167,56.905427097,24.053404615,2026-02-05 11:26:46.558,
8070,LV,Maxima,Saldus,Brīvības iela 30,LV-3801,56.668754140,22.490023107,2026-01-01 12:30:05.366,Paštomatą rasite lauke, kairėje pagrindinio įėjimo į parduotuvę pusėje.
8076,LV,Rimi,Rīga,Vaidavas iela 9B,LV-1084,56.962055414,24.177068867,2026-02-05 11:24:08.423,
9549,EE,Spordihoone kompleks (Udrop),Tartu,Näituse 33,50407,58.376839996,26.699084202,2026-01-01 12:30:09.414,Paštomatas stovi pravažiuojamoje teritorijos dalyje prie pastato sienos.
9544,EE,Jüri Grossi (Udrop),Jüri,Aruküla tee 7,75301,59.354126938,24.892864790,2026-02-06 12:53:46.534,
8551,LV,TOP (Udrop),Liepāja,Jūras iela 25/29,LV-3401,56.511058,21.007105,2026-02-05 12:06:43.215,
8538,LV,TOP (Udrop),Jelgava,Kristapa Helmaņa iela 1,LV-3004,56.659826,23.762745,2026-01-01 12:30:06.157, Paštomatas stovi dešinėje pastato pusėje.
8535,LV,Dubultu prospekta 5  (Udrop),Jūrmala,Dubultu prospekts 5,LV-2015,56.968620,23.773079,2026-01-01 12:30:06.141,Paštomatas stovi iš Blaumana gatvės pusės.
9547,EE,Raatuse Ärikeskus (Udrop),Tartu,Raatuse 20,50603,58.382492543,26.730415393,2026-01-01 12:30:09.405,Paštomatas stovi dešinėje įėjimo į parduotuvę pusėje.
8084,LV,Mego,Salaspils,Skolas iela 9,LV-2121,56.854890593,24.334048059,2026-01-01 12:30:05.428,Paštomatą rasite lauke, kairėje pagrindinio įėjimo į parduotuvę pusėje.
9546,EE,Tammiste Konsum (Udrop),Tammiste,Kellukese tee 2,85009,58.388833706,24.607798135,2026-01-01 12:30:09.392,Paštomatas stovi kairėje įėjimo į parduotuvę pusėje.
9545,EE,Roheruum Tehnopol (Udrop),Tallinn,Teaduspargi 3a,12618,59.397442420,24.657807245,2026-01-01 12:30:09.387,Paštomsatas stovi žaliojoje zonoje tarp automobilių stovėjimo aikštelių.
9542,EE,Vanalinna Europark  (Udrop),Tallinn,Aia 8,10111,59.438077503,24.751350405,2026-01-01 12:30:09.365,Paštomatas matomas nuo Asia  gatvės pusės.
8547,LV,Citro (Udrop),Rīga,Ozolciema iela 46 k-6,LV-1058,56.901922,24.100337,2026-02-05 12:05:31.505,
